"Date","AQS_SITE_ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"11/04/1986","170311002","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/05/1986","170311002","1","2.6","ppm","30","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/06/1986","170311002","1","3.1","ppm","35","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/07/1986","170311002","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/08/1986","170311002","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/09/1986","170311002","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/10/1986","170311002","1","1.6","ppm","18","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/11/1986","170311002","1","0.8","ppm","9","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/14/1986","170311002","1","0.3","ppm","3","18","75.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/15/1986","170311002","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/16/1986","170311002","1","1.3","ppm","15","19","79.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/17/1986","170311002","1","1.3","ppm","15","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/18/1986","170311002","1","0.9","ppm","10","21","88.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/19/1986","170311002","1","0.4","ppm","5","18","75.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/20/1986","170311002","1","1.3","ppm","15","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/21/1986","170311002","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/22/1986","170311002","1","0.4","ppm","5","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/23/1986","170311002","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/24/1986","170311002","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/25/1986","170311002","1","0.9","ppm","10","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/26/1986","170311002","1","0.8","ppm","9","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/27/1986","170311002","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/28/1986","170311002","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/29/1986","170311002","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"11/30/1986","170311002","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/01/1986","170311002","1","0.5","ppm","6","21","88.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/02/1986","170311002","1","0.7","ppm","8","18","75.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/03/1986","170311002","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/05/1986","170311002","1","0.8","ppm","9","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/06/1986","170311002","1","1","ppm","11","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/07/1986","170311002","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/08/1986","170311002","1","0.8","ppm","9","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/09/1986","170311002","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/10/1986","170311002","1","0.6","ppm","7","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/11/1986","170311002","1","0.6","ppm","7","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/12/1986","170311002","1","0.6","ppm","7","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/13/1986","170311002","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/14/1986","170311002","1","0.3","ppm","3","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/15/1986","170311002","1","1.1","ppm","13","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/16/1986","170311002","1","0.9","ppm","10","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/17/1986","170311002","1","0.8","ppm","9","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/19/1986","170311002","1","2.1","ppm","24","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/21/1986","170311002","1","3.3","ppm","38","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/22/1986","170311002","1","5.3","ppm","59","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/23/1986","170311002","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/24/1986","170311002","1","3.5","ppm","40","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/25/1986","170311002","1","0.5","ppm","6","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/30/1986","170311002","1","1.6","ppm","18","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"12/31/1986","170311002","1","1.5","ppm","17","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/01/1986","170311102","1","2.3","ppm","26","19","79.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/02/1986","170311102","1","2.3","ppm","26","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/03/1986","170311102","1","1.9","ppm","22","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/05/1986","170311102","1","2","ppm","23","19","79.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/01/1986","170313101","1","1.5","ppm","17","18","75.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/02/1986","170313101","1","2","ppm","23","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/04/1986","170313101","1","1.8","ppm","20","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/05/1986","170313101","1","1.2","ppm","14","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/06/1986","170313101","1","3.8","ppm","43","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/07/1986","170313101","1","3.6","ppm","41","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/08/1986","170313101","1","3.5","ppm","40","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/09/1986","170313101","1","1.5","ppm","17","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/10/1986","170313101","1","2.5","ppm","28","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/11/1986","170313101","1","1.8","ppm","20","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/12/1986","170313101","1","1.2","ppm","14","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/13/1986","170313101","1","2.4","ppm","27","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/14/1986","170313101","1","3.4","ppm","39","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/15/1986","170313101","1","2.7","ppm","31","19","79.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/17/1986","170313101","1","2.1","ppm","24","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/18/1986","170313101","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/19/1986","170313101","1","2.9","ppm","33","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/20/1986","170313101","1","2.5","ppm","28","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/21/1986","170313101","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/22/1986","170313101","1","2.1","ppm","24","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/23/1986","170313101","1","2.9","ppm","33","18","75.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/24/1986","170313101","1","2","ppm","23","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/25/1986","170313101","1","0.9","ppm","10","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/26/1986","170313101","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/27/1986","170313101","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/28/1986","170313101","1","1.1","ppm","13","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/29/1986","170313101","1","2","ppm","23","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/30/1986","170313101","1","2.7","ppm","31","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"01/31/1986","170313101","1","1.6","ppm","18","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/01/1986","170313101","1","1.4","ppm","16","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/02/1986","170313101","1","1.9","ppm","22","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/03/1986","170313101","1","1.7","ppm","19","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/04/1986","170313101","1","4.1","ppm","47","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/05/1986","170313101","1","2.4","ppm","27","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/06/1986","170313101","1","0.7","ppm","8","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/07/1986","170313101","1","3.4","ppm","39","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/08/1986","170313101","1","2.4","ppm","27","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/09/1986","170313101","1","1.2","ppm","14","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/10/1986","170313101","1","3.4","ppm","39","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/11/1986","170313101","1","2.5","ppm","28","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/12/1986","170313101","1","2","ppm","23","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/13/1986","170313101","1","1.9","ppm","22","23","96.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/19/1986","170313101","1","3.3","ppm","38","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/20/1986","170313101","1","3.9","ppm","44","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/21/1986","170313101","1","1.9","ppm","22","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/22/1986","170313101","1","1.6","ppm","18","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/23/1986","170313101","1","1.9","ppm","22","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/24/1986","170313101","1","3.1","ppm","35","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/25/1986","170313101","1","3.1","ppm","35","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/26/1986","170313101","1","3","ppm","34","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/27/1986","170313101","1","2.5","ppm","28","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"02/28/1986","170313101","1","2.2","ppm","25","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
"03/01/1986","170313101","1","1.7","ppm","19","24","100.0000","42101","Carbon monoxide","16980","Chicago-Naperville-Joliet, IL-IN-WI","17","Illinois","031","Cook",".","."
